orig_row,text,n_terms,dominant_topic,topic_0,topic_1,topic_2,topic_3,topic_4,topic_5,topic_6,topic_7,topic_8,topic_9
43735,"Ji padarė X — kas nutiks toliau, pribloškia — Read more (Paris)",7,1,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
8096,86 She did X — what happens next will shock you (Paris),4,7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02
37220,88 Open-source libraries accelerate machine learning workflows after report,8,9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9
2915,59 Local team wins national championship in overtime (New York),8,7,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9,0.011,0.011
9548,65 Major security breach affects millions of users worldwide,7,1,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
25414,18 Stock market falls amid inflation concerns,6,4,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014
587,Coach explains new defensive tactics after the game (Vilnius),7,2,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013
39990,100 You won't believe what happened next (Kaunas),4,1,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
33300,52 Star player signs a multi-year contract with club dėl rinkos reakcijos,9,8,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.71,0.01
21459,60 Kaip pagreitinti kompiuterį paprastais triukais,4,5,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02
30330,"72 Ji padarė X — kas nutiks toliau, pribloškia",5,1,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
7146,58 Earnings beat expectations as revenue grows in cloud segment,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
18029,79 Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
16258,34 Didelė saugumo spraga paveikė milijonus vartotojų,6,6,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014
45421,Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą in a surprise move (Kaunas),9,5,0.01,0.01,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01
42554,Treneris aiškino naują gynybos taktiką po rungtynių po pranešimo (Madrid),8,0,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
3520,45 Earnings beat expectations as revenue grows in cloud segment (London),8,8,0.011,0.011,0.122,0.011,0.011,0.011,0.011,0.011,0.789,0.011
30474,91 Apple unveils a new iPhone with advanced camera and AI features amid concerns,10,3,0.009,0.009,0.009,0.735,0.192,0.009,0.009,0.009,0.009,0.009
13685,10 reasons you should never buy this gadget — You won't believe it (London),6,7,0.014,0.443,0.014,0.014,0.014,0.014,0.014,0.443,0.014,0.014
4401,81 Startuolis pritraukė 50 mln. USD DI platformos plėtrai,7,0,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
20337,90 Coach explains new defensive tactics after the game,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
12237,Star player signs a multi-year contract with club po pranešimo (Kaunas),9,8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01
8791,72 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
5043,Didelė saugumo spraga paveikė milijonus vartotojų (Kaunas),7,6,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013
24474,61 This trick will change your life forever,4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
16070,"85 10 priežasčių, kodėl niekada nepirkti šio daikto — Find out why",6,9,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871
16499,30 Star player signs a multi-year contract with club,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
9488,32 Star player signs a multi-year contract with club,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
2698,53 Stock market falls amid inflation concerns dėl rinkos reakcijos,8,4,0.011,0.011,0.011,0.011,0.678,0.011,0.233,0.011,0.011,0.011
4267,Star player signs a multi-year contract with club po pranešimo (Berlin),9,8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01
40631,66 Earnings beat expectations as revenue grows in cloud segment,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
6237,34 Apple unveils a new iPhone with advanced camera and AI features,8,3,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011
2322,75 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis (New York),10,1,0.009,0.918,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
9387,54 Žvaigždė pasirašė daugiametę sutartį su klubu,5,8,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.85,0.017
34927,Messi scores a stunning goal in the Champions League match — analysts say (Paris),10,4,0.009,0.009,0.009,0.009,0.918,0.009,0.009,0.009,0.009,0.009
1369,16 Transfer rumors suggest a record deal for the young striker (Berlin),8,3,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011
17002,49 Treneris aiškino naują gynybos taktiką po rungtynių,6,0,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
29527,85 Investors hedge inflation risk using index-linked bonds (Madrid),9,9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91
390,Apple unveils a new iPhone with advanced camera and AI features dėl rinkos reakcijos (Madrid),11,3,0.008,0.008,0.008,0.725,0.008,0.008,0.209,0.008,0.008,0.008
18478,24 Open-source libraries accelerate machine learning workflows,7,9,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887
40213,28 Open-source libraries accelerate machine learning workflows,7,9,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887
18785,31 Startuolis pritraukė 50 mln. USD DI platformos plėtrai,7,0,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
12739,62 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
11133,"63 10 priežasčių, kodėl niekada nepirkti šio daikto",6,9,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871
35679,This trick will change your life forever — You won't believe it (Paris),7,2,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013
47735,20 Start-up raises $50 million to scale its AI platform dėl rinkos reakcijos,8,3,0.011,0.011,0.011,0.678,0.011,0.011,0.233,0.011,0.011,0.011
12,"10 priežasčių, kodėl niekada nepirkti šio daikto",6,9,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871
12982,88 Start-up raises $50 million to scale its AI platform,6,3,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014
12737,67 Apple unveils a new iPhone with advanced camera and AI features,8,3,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011
18821,"Ji padarė X — kas nutiks toliau, pribloškia — You won't believe it (New York)",9,1,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
13850,15 Apple unveils a new iPhone with advanced camera and AI features analitikų teigimu,10,3,0.009,0.009,0.009,0.918,0.009,0.009,0.009,0.009,0.009,0.009
28066,67 Coach explains new defensive tactics after the game,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
39406,Apple unveils a new iPhone with advanced camera and AI features amid concerns (Kaunas),11,3,0.008,0.008,0.008,0.743,0.191,0.008,0.008,0.008,0.008,0.008
23362,2 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
2998,Didelė saugumo spraga paveikė milijonus vartotojų (London),7,6,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013
915,Apple unveils a new iPhone with advanced camera and AI features po pranešimo (Vilnius),10,3,0.009,0.009,0.009,0.918,0.009,0.009,0.009,0.009,0.009,0.009
929,Messi įmušė įspūdingą įvartį Lygų taurėje analitikų teigimu,8,8,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9,0.011
193,35 Messi scores a stunning goal in the Champions League match po pranešimo,8,4,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011
34397,53 Top 7 secrets companies don't want you to know (Kaunas),6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
36870,36 Start-up raises $50 million to scale its AI platform,6,3,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014
11738,64 This trick will change your life forever — Number 5 is shocking,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
32695,65 Local team wins national championship in overtime,6,7,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014
23396,"81 Negalėsite patikėti, kas įvyko toliau",4,6,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02
30,Kaip pagreitinti kompiuterį paprastais triukais,4,5,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02
16351,"32 Central bank cuts rates, markets rally on dovish guidance dėl rinkos reakcijos",10,5,0.009,0.009,0.009,0.009,0.009,0.736,0.191,0.009,0.009,0.009
8236,62 Top 7 secrets companies don't want you to know — Number 5 is shocking,7,2,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013
34184,90 Kaip pagreitinti kompiuterį paprastais triukais,4,5,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02
18847,4 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
8802,36 Analysts predict record profits for the banking sector — analysts say,8,4,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011
13887,62 Kaip pagreitinti kompiuterį paprastais triukais (London),5,5,0.017,0.017,0.017,0.017,0.017,0.85,0.017,0.017,0.017,0.017
9313,6 Open-source libraries accelerate machine learning workflows,7,9,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887
11906,79 This trick will change your life forever,4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
730,Star player signs a multi-year contract with club after report,8,8,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9,0.011
18741,18 Start-up raises $50 million to scale its AI platform,6,3,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014
2170,Analysts predict record profits for the banking sector amid concerns,8,4,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011
39947,Messi įmušė įspūdingą įvartį Lygų taurėje in a surprise move (Vilnius),8,8,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9,0.011
17231,13 Investors hedge inflation risk using index-linked bonds,8,9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9
38091,"89 Negalėsite patikėti, kas įvyko toliau (Madrid)",5,6,0.017,0.017,0.017,0.017,0.017,0.017,0.85,0.017,0.017,0.017
18389,Startuolis pritraukė 50 mln. USD DI platformos plėtrai in a surprise move (Kaunas),9,0,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
35177,46 Earnings beat expectations as revenue grows in cloud segment in a surprise move,8,8,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9,0.011
5740,46 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,7,5,0.013,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013
33748,12 Local team wins national championship in overtime,6,7,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014
9103,60 Kaip pagreitinti kompiuterį paprastais triukais (New York),6,5,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014
38070,95 Major security breach affects millions of users worldwide in a surprise move,8,1,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
117,Messi scores a stunning goal in the Champions League match,7,4,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013
5989,81 Messi įmušė įspūdingą įvartį Lygų taurėje,6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
2120,92 Start-up raises $50 million to scale its AI platform,6,3,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014
34628,16 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,7,5,0.013,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013
21228,"33 Negalėsite patikėti, kas įvyko toliau — You won't believe it",6,6,0.014,0.334,0.014,0.014,0.014,0.014,0.552,0.014,0.014,0.014
27633,Major security breach affects millions of users worldwide po pranešimo (Kaunas),9,1,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
5046,95 Didelė saugumo spraga paveikė milijonus vartotojų,6,6,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014
35005,83 This trick will change your life forever (Madrid),5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
4270,„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis as markets react,10,1,0.009,0.736,0.009,0.009,0.009,0.191,0.009,0.009,0.009,0.009
32588,63 How to speed up your computer with simple tweaks,4,5,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02,0.02
32415,10 reasons you should never buy this gadget — You won't believe it (Madrid),6,7,0.014,0.424,0.014,0.014,0.014,0.014,0.014,0.462,0.014,0.014
13650,"49 10 priežasčių, kodėl niekada nepirkti šio daikto (New York)",8,9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9
33295,57 You won't believe what happened next (Kaunas),4,1,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
243,Open-source libraries accelerate machine learning workflows (Paris),8,9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9
22868,71 She did X — what happens next will shock you,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
25255,"77 Central bank cuts rates, markets rally on dovish guidance",8,5,0.011,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011
9506,Major security breach affects millions of users worldwide — analysts say (Vilnius),10,1,0.009,0.726,0.009,0.009,0.201,0.009,0.009,0.009,0.009,0.009
43780,30 She did X — what happens next will shock you,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
15462,27 This trick will change your life forever (New York),6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
2563,6 You won't believe what happened next,3,1,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
37621,"14 10 priežasčių, kodėl niekada nepirkti šio daikto",6,9,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871
2675,„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis amid concerns,10,1,0.009,0.736,0.009,0.009,0.191,0.009,0.009,0.009,0.009,0.009
7478,88 Earnings beat expectations as revenue grows in cloud segment,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
19095,38 Transfer rumors suggest a record deal for the young striker as markets react,9,3,0.01,0.01,0.01,0.91,0.01,0.01,0.01,0.01,0.01,0.01
33215,"80 Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — You won't believe it",6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
1695,Coach explains new defensive tactics after the game in a surprise move,7,2,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013
15501,7 Žvaigždė pasirašė daugiametę sutartį su klubu after report,6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
454,Top 7 secrets companies don't want you to know (Paris),6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
21468,40 Local team wins national championship in overtime po pranešimo,7,7,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013,0.013
34368,29 Local team wins national championship in overtime,6,7,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014
39148,9 Messi scores a stunning goal in the Champions League match,7,4,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013
36456,32 Didelė saugumo spraga paveikė milijonus vartotojų,6,6,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014
38397,59 Messi scores a stunning goal in the Champions League match,7,4,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013
5197,71 Coach explains new defensive tactics after the game,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
3140,Kaip pagreitinti kompiuterį paprastais triukais (Kaunas),5,5,0.017,0.017,0.017,0.017,0.017,0.85,0.017,0.017,0.017,0.017
12390,Analysts predict record profits for the banking sector po pranešimo,7,4,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013
203,57 Start-up raises $50 million to scale its AI platform (Paris),7,3,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013
10367,"60 10 priežasčių, kodėl niekada nepirkti šio daikto — Read more (Madrid)",8,9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.124,0.011,0.787
2639,Messi įmušė įspūdingą įvartį Lygų taurėje (Vilnius),7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
34110,Coach explains new defensive tactics after the game as markets react (Berlin),9,2,0.01,0.01,0.666,0.01,0.01,0.254,0.01,0.01,0.01,0.01
17668,59 „Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis,8,1,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
6857,62 Perėjimų gandai: jaunas puolėjas gali kainuoti rekordą,7,5,0.013,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013
42056,97 Earnings beat expectations as revenue grows in cloud segment dėl rinkos reakcijos,9,8,0.01,0.01,0.01,0.01,0.01,0.01,0.21,0.01,0.71,0.01
30081,38 How to speed up your computer with simple tweaks amid concerns (Kaunas),7,5,0.013,0.013,0.013,0.013,0.293,0.607,0.013,0.013,0.013,0.013
23620,90 This trick will change your life forever — Number 5 is shocking,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
41794,Major security breach affects millions of users worldwide as markets react (New York),11,1,0.008,0.739,0.008,0.008,0.008,0.194,0.008,0.008,0.008,0.008
9464,"Central bank cuts rates, markets rally on dovish guidance (New York)",10,5,0.009,0.009,0.009,0.009,0.009,0.918,0.009,0.009,0.009,0.009
27166,69 Žvaigždė pasirašė daugiametę sutartį su klubu,5,8,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.85,0.017
38906,99 Coach explains new defensive tactics after the game,6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
14985,Star player signs a multi-year contract with club amid concerns,9,8,0.01,0.01,0.01,0.01,0.21,0.01,0.01,0.01,0.71,0.01
8160,Open-source libraries accelerate machine learning workflows — analysts say,9,9,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91
11263,73 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
35030,84 Treneris aiškino naują gynybos taktiką po rungtynių (Berlin),7,0,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
33527,98 Didelė saugumo spraga paveikė milijonus vartotojų,6,6,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014
1607,47 Šis triukas pakeis jūsų gyvenimą amžiams,5,1,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
11931,3 This trick will change your life forever,4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
17243,Kaip pagreitinti kompiuterį paprastais triukais dėl rinkos reakcijos (Berlin),7,5,0.013,0.013,0.013,0.013,0.013,0.637,0.263,0.013,0.013,0.013
1624,„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis in a surprise move (Berlin),10,1,0.009,0.918,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
11518,58 Local team wins national championship in overtime dėl rinkos reakcijos,8,7,0.011,0.011,0.011,0.011,0.011,0.011,0.233,0.678,0.011,0.011
34595,12 Earnings beat expectations as revenue grows in cloud segment,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
66,Messi įmušė įspūdingą įvartį Lygų taurėje,6,8,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014
3734,How to speed up your computer with simple tweaks (Madrid),5,5,0.017,0.017,0.017,0.017,0.017,0.85,0.017,0.017,0.017,0.017
13363,19 Apple unveils a new iPhone with advanced camera and AI features as markets react,10,3,0.009,0.009,0.009,0.918,0.009,0.009,0.009,0.009,0.009,0.009
7082,40 Messi scores a stunning goal in the Champions League match (Paris),8,4,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011
4576,78 Didelė saugumo spraga paveikė milijonus vartotojų,6,6,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014
31465,"83 Negalėsite patikėti, kas įvyko toliau",4,6,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02,0.02
26686,70 Top 7 secrets companies don't want you to know,5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
21479,„Apple“ pristatė naują iPhone su pažangia kamera ir DI funkcijomis analitikų teigimu (Vilnius),11,1,0.008,0.925,0.008,0.008,0.008,0.008,0.008,0.008,0.008,0.008
30808,39 Analysts predict record profits for the banking sector,6,4,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014
9368,"Top 7 paslaptys, kurias įmonės nenori, kad žinotumėte — Read more (London)",6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
1298,20 Investors hedge inflation risk using index-linked bonds,8,9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9
40925,75 You won't believe what happened next — You won't believe it,5,1,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
1429,50 Šis triukas pakeis jūsų gyvenimą amžiams,5,1,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017
39164,65 10 reasons you should never buy this gadget,3,7,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.775,0.025,0.025
15450,Coach explains new defensive tactics after the game analitikų teigimu (New York),10,2,0.009,0.009,0.723,0.009,0.204,0.009,0.009,0.009,0.009,0.009
39062,36 This trick will change your life forever,4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
31764,82 Earnings beat expectations as revenue grows in cloud segment,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
1694,Startuolis pritraukė 50 mln. USD DI platformos plėtrai in a surprise move,8,0,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011
17888,"Ji padarė X — kas nutiks toliau, pribloškia — Find out why (London)",6,1,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014
8692,39 Top 7 secrets companies don't want you to know,5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
18427,"93 Central bank cuts rates, markets rally on dovish guidance",8,5,0.011,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011
15557,27 Analysts predict record profits for the banking sector analitikų teigimu,8,4,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011
9540,This trick will change your life forever — Number 5 is shocking (New York),8,2,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011,0.011
236,Investors hedge inflation risk using index-linked bonds analitikų teigimu,10,9,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.918
21805,Earnings beat expectations as revenue grows in cloud segment po pranešimo (Vilnius),9,8,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.91,0.01
48144,87 Atviro kodo bibliotekos pagreitina mašininio mokymosi procesus (London),8,8,0.011,0.011,0.122,0.011,0.011,0.011,0.011,0.011,0.789,0.011
15907,41 You won't believe what happened next,3,1,0.025,0.775,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
41147,55 Analysts predict record profits for the banking sector,6,4,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014
7509,52 Apple unveils a new iPhone with advanced camera and AI features,8,3,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011,0.011
8215,51 Transfer rumors suggest a record deal for the young striker,7,3,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013
28292,19 Messi scores a stunning goal in the Champions League match,7,4,0.013,0.013,0.013,0.013,0.887,0.013,0.013,0.013,0.013,0.013
3541,Startuolis pritraukė 50 mln. USD DI platformos plėtrai in a surprise move (New York),10,0,0.918,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009,0.009
2462,Vietos komanda laimėjo nacionalinį čempionatą pratęsimuose dėl rinkos reakcijos,8,0,0.678,0.011,0.011,0.011,0.011,0.011,0.233,0.011,0.011,0.011
44877,This trick will change your life forever — Find out why (New York),6,2,0.014,0.014,0.871,0.014,0.014,0.014,0.014,0.014,0.014,0.014
48970,"92 10 priežasčių, kodėl niekada nepirkti šio daikto",6,9,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.014,0.871
11651,49 You won't believe what happened next (Kaunas),4,1,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
1015,Treneris aiškino naują gynybos taktiką po rungtynių dėl rinkos reakcijos (New York),10,0,0.736,0.009,0.009,0.009,0.009,0.009,0.191,0.009,0.009,0.009
1204,19 Major security breach affects millions of users worldwide,7,1,0.013,0.887,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013
1725,Didelė saugumo spraga paveikė milijonus vartotojų analitikų teigimu,8,6,0.011,0.011,0.011,0.011,0.233,0.011,0.678,0.011,0.011,0.011
36541,52 Earnings beat expectations as revenue grows in cloud segment (Vilnius),8,8,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.011,0.9,0.011
4908,8 Earnings beat expectations as revenue grows in cloud segment,7,8,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.013,0.887,0.013
33310,4 She did X — what happens next will shock you — Read more,4,7,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.82,0.02,0.02
43965,68 Messi scores a stunning goal in the Champions League match (Vilnius),8,4,0.011,0.011,0.011,0.011,0.9,0.011,0.011,0.011,0.011,0.011
18911,28 Top 7 secrets companies don't want you to know,5,2,0.017,0.017,0.85,0.017,0.017,0.017,0.017,0.017,0.017,0.017
5579,30 Didelė saugumo spraga paveikė milijonus vartotojų,6,6,0.014,0.014,0.014,0.014,0.014,0.014,0.871,0.014,0.014,0.014
2995,59 This trick will change your life forever,4,2,0.02,0.02,0.82,0.02,0.02,0.02,0.02,0.02,0.02,0.02
13312,36 Žvaigždė pasirašė daugiametę sutartį su klubu,5,8,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.017,0.85,0.017
